step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
152,0.9998159981,0.9998150301,0.9998166895,0.3610868367,0.3555777825,0.3657907537,0.3593599387,26382.0852606074,0.9998159981,0.0129805775,
153,0.9998185690,0.9998176417,0.9998196330,0.3603322782,0.3548762039,0.3649892925,0.3586271503,27998.3928049533,0.9998185690,0.0115455650,
154,0.9998185960,0.9998184772,0.9998187175,0.3597397906,0.3542102914,0.3638964128,0.3580360125,30026.4932110850,0.9998185960,0.0101053165,
155,0.9998208984,0.9998203297,0.9998214703,0.3593037051,0.3538567685,0.3633250006,0.3576204024,21085.8685534287,0.9998208984,0.0123940340,
156,0.9998228351,0.9998222346,0.9998235774,0.3588584940,0.3537191036,0.3625610216,0.3571912571,22057.1811575762,0.9998228351,0.0109514886,
157,0.9998253878,0.9998239307,0.9998274117,0.3587430809,0.3534786562,0.3626333040,0.3570970672,58874.7935702833,0.9998253878,0.0118081834,
158,0.9998275447,0.9998259254,0.9998290725,0.3584671952,0.3531204475,0.3623092111,0.3568401529,44535.0718606218,0.9998275447,0.0145599619,
159,0.9998302817,0.9998295779,0.9998310351,0.3581010143,0.3528500428,0.3619307809,0.3564956488,31062.7802822431,0.9998302817,0.0122313170,
160,0.9998314492,0.9998301287,0.9998326159,0.3578601931,0.3520733337,0.3623673759,0.3562652721,38487.1911207581,0.9998314492,0.0107882684,
161,0.9998350875,0.9998334780,0.9998371286,0.3573586559,0.3516792370,0.3614424354,0.3557950513,42574.0946125603,0.9998350875,0.0108766444,
162,0.9998375225,0.9998349628,0.9998409824,0.3571511485,0.3512306798,0.3614475458,0.3556063670,30388.9741254711,0.9998375225,0.0127150388,
163,0.9998407157,0.9998383942,0.9998427582,0.3569183697,0.3514217248,0.3609649897,0.3553991820,50245.5272195848,0.9998407157,0.0115506273,
164,0.9998422050,0.9998400216,0.9998440900,0.3564751548,0.3508997014,0.3604983575,0.3549700157,27385.7981746229,0.9998422050,0.0102787490,
165,0.9998439956,0.9998413572,0.9998464136,0.3561203074,0.3503877467,0.3603150591,0.3546309853,56469.1401581097,0.9998439956,0.0108706073,
166,0.9998451177,0.9998432274,0.9998472385,0.3560952858,0.3504975841,0.3601625106,0.3546162160,58215.8148960209,0.9998451177,0.0119336139,
167,0.9998462534,0.9998445044,0.9998480253,0.3557294037,0.3501366913,0.3597570779,0.3542609610,40824.5577400907,0.9998462534,0.0108333277,
168,0.9998468526,0.9998457084,0.9998482165,0.3550630573,0.3491411221,0.3595275300,0.3536025419,39077.8574023819,0.9998468526,0.0092977843,
169,0.9998477236,0.9998466611,0.9998488145,0.3545830305,0.3488122628,0.3587866919,0.3531305981,34219.3982408206,0.9998477236,0.0113247568,
170,0.9998489547,0.9998479033,0.9998498163,0.3542735227,0.3484332646,0.3586199726,0.3528317517,47674.6807450199,0.9998489547,0.0083440176,
171,0.9998513063,0.9998492064,0.9998528972,0.3542254688,0.3484009331,0.3585305365,0.3528025556,33071.7786138757,0.9998513063,0.0099385371,
172,0.9998546688,0.9998539562,0.9998552055,0.3539737308,0.3483294877,0.3582289566,0.3525783622,31288.2103227997,0.9998546688,0.0118014260,
173,0.9998559968,0.9998555489,0.9998563614,0.3537891002,0.3477582718,0.3581422797,0.3524055447,38957.5392800967,0.9998559968,0.0122384590,
174,0.9998568805,0.9998554640,0.9998579741,0.3536803724,0.3476571695,0.3583237821,0.3523059648,39110.6322969627,0.9998568805,0.0102977911,
175,0.9998583722,0.9998566241,0.9998602405,0.3528087777,0.3474763014,0.3568594034,0.3514477183,30298.4452423731,0.9998583722,0.0093000617,
176,0.9998591073,0.9998580570,0.9998603840,0.3524683853,0.3471266054,0.3564076232,0.3511136228,43972.3436008771,0.9998591073,0.0077351580,
177,0.9998605076,0.9998593040,0.9998620639,0.3521823796,0.3468132594,0.3562534316,0.3508410561,44268.0225286929,0.9998605076,0.0106461539,
178,0.9998616759,0.9998603220,0.9998630800,0.3521643084,0.3465619087,0.3564617076,0.3508330327,43687.4152319463,0.9998616759,0.0099429501,
179,0.9998638089,0.9998619347,0.9998653145,0.3522617016,0.3468147445,0.3565535269,0.3509479274,45647.2974590810,0.9998638089,0.0107142550,
180,0.9998654962,0.9998640127,0.9998665667,0.3517339794,0.3460922700,0.3561411978,0.3504345695,49842.3619546986,0.9998654962,0.0102695742,
181,0.9998672533,0.9998651862,0.9998690677,0.3515672239,0.3459361435,0.3559322816,0.3502829891,49151.5607197761,0.9998672533,0.0098812828,
182,0.9998684335,0.9998673253,0.9998697248,0.3505473860,0.3455715134,0.3541840899,0.3492731474,51041.6835134856,0.9998684335,0.0128506433,
183,0.9998699323,0.9998688612,0.9998713694,0.3504558327,0.3453686579,0.3542701691,0.3491950339,42777.6596559906,0.9998699323,0.0109224875,
