step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
118,0.9893718807,0.9852408104,0.9947705822,0.1503004318,0.1226933634,0.1728100449,0.1291445601,5049.2924578889,0.9893718807,0.1000499030,0.9895833333
119,0.9894179646,0.9854337149,0.9947392111,0.1494201338,0.1216837709,0.1727962962,0.1290679879,8135.3547069756,0.9894179646,0.1665083567,1.0000000000
120,0.9895918385,0.9855747738,0.9948114834,0.1428695949,0.1160198731,0.1689246474,0.1232450914,2898.7880022637,0.9895918385,0.0446990927,0.9583333333
121,0.9895723041,0.9855654931,0.9947597547,0.1443878977,0.1142582173,0.1768398774,0.1245027379,6708.4093711042,0.9895723041,0.1128423611,0.9895833333
122,0.9894924116,0.9852783012,0.9947690277,0.1464506759,0.1162115033,0.1794257181,0.1260992819,10978.1168092616,0.9894924116,0.1545889278,1.0000000000
123,0.9901062679,0.9861059198,0.9953401842,0.1396579190,0.1122409749,0.1671093278,0.1223576576,3611.2722435570,0.9901062679,0.0216131856,0.9791666667
124,0.9904655210,0.9868791337,0.9954254861,0.1275107751,0.1087993250,0.1441018252,0.1119231714,2761.2880918137,0.9904655210,0.1698151032,1.0000000000
125,0.9900876816,0.9862362995,0.9951896210,0.1313889717,0.1146160462,0.1436909842,0.1141782117,6683.4608073139,0.9900876816,0.2250378827,0.9583333333
126,0.9900161600,0.9859816146,0.9952488818,0.1291683556,0.1134173191,0.1411297612,0.1120065040,4171.8414163558,0.9900161600,0.1163001657,1.0000000000
127,0.9899932384,0.9861632581,0.9950604348,0.1277798009,0.1131005405,0.1384658641,0.1103447407,1054.7374644136,0.9899932384,0.2001455029,1.0000000000
128,0.9899783556,0.9862130604,0.9950658798,0.1274409548,0.1150407492,0.1367505246,0.1098531765,6778.4346886142,0.9899783556,0.0678907434,0.9583333333
